,detection rate,detection rate,detection rate,detection rate,detection rate,detection rate,detection rate,detection rate,false negative rate,false negative rate,false negative rate,false negative rate,false negative rate,false negative rate,false negative rate,false negative rate,false positive rate,false positive rate,false positive rate,false positive rate,false positive rate,false positive rate,false positive rate,false positive rate,delay rate,delay rate,delay rate,delay rate,delay rate,delay rate,delay rate,delay rate,execution time,execution time,execution time,execution time,execution time,execution time,execution time,execution time,ram hours,ram hours,ram hours,ram hours,ram hours,ram hours,ram hours,ram hours
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adwin,30.0,0.3333333333333334,1.1292025708167404e-16,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,30.0,0.6666666666666669,2.2584051416334807e-16,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,14917.266666666665,628.6978417691687,13942.666666666666,14169.333333333334,15414.0,15414.0,15574.0,30.0,0.07180805206298828,0.01485037407846786,0.04990410804748535,0.06152409315109253,0.06969797611236572,0.0798371434211731,0.11065483093261719,30.0,0.0003338500028280325,6.937199859797289e-05,0.00023167719494040283,0.00028567243612289734,0.0003227352584586798,0.0003693597331675846,0.0005188476538225789
kswin,30.0,0.6,0.44977644510880366,0.0,0.0,0.6666666666666666,1.0,1.0,30.0,0.4,0.44977644510880366,0.0,0.0,0.3333333333333333,1.0,1.0,30.0,0.5188455988455989,0.38787924159318493,0.0,0.0,0.6666666666666666,0.8428571428571429,0.9318181818181818,30.0,9096.155555555559,8880.512997217109,783.0,1164.0,7911.0,20876.0,20876.0,30.0,5.318838421503703,0.4567620421343813,4.40894079208374,5.043572843074799,5.332887887954712,5.6604397892951965,6.31564998626709,30.0,0.024885225843597137,0.0022077320556312115,0.0208252260205442,0.02371202786720624,0.02465201632099555,0.02675737136082862,0.02996809508493647
ph,30.0,0.39999999999999997,0.3545003499071492,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,30.0,0.5999999999999999,0.3545003499071492,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,30.0,0.12960317460317458,0.22815342468525604,0.0,0.0,0.0,0.1875,0.6666666666666666,30.0,13253.577777777777,6853.2412495118115,545.3333333333334,7861.25,14701.0,20876.0,20876.0,30.0,0.03230921427408854,0.010036083970518403,0.015639066696166992,0.025229036808013916,0.031496286392211914,0.040550172328948975,0.04986405372619629,30.0,0.00015067115941743662,4.686242608509096e-05,7.280886798450109e-05,0.0001175396407294708,0.00014700641570091952,0.00018922310469008608,0.00023247973540871194
